scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,80,33,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,34,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,35,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,36,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,37,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,38,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,39,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,40,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,41,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,42,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,43,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,44,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,45,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,46,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,47,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,48,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,49,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,50,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,1,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,2,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,3,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,4,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,5,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,6,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,7,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,8,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,9,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,10,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,11,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,12,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,13,25,13,12,100,231,1,1,1,2,false,false
progress-aware-quorum-delay,80,14,25,13,12,100,231,1,1,1,2,false,false
